BookCode,clean_text,Sentiment,Sentiment_Score
22720,wa good wa good wa good wa good wa good wa good wa good wa good wa good wa good wa good wa good wa good wa good wa good wa good wa good wa good wa good wa good wa good wa good wa good wa good wa good oh yeah wa good,Positive,0.9971
22720,wife gave book birthday wa bowl titl stori made laugh cri wa onli begin comparison seabiscuit apt panther definit underdog great heart stori wonder love john madson tale lab bess fetch mallard give birth whole litter puppi stori boy save old duck dog fallen ice return earlier favor ted lundrigan stori trust black wa good made look book amazon brilliant writer not think ever read poignant heart felt confess man love retriev ani breed individu dog buy book someon els one best present ever give get,Positive,0.9927
22720,love languag secret love last great book help understand express receiv love certain way languag book go five differ love languag peopl use give receiv love wish would read book prior marriag would like see wife not communic love languag veri well probabl purchas book constant loan friend famili may buy sever copi give wed gift also friend whose relationship go test time strong recommend book anyon everyon help relationship romant well,Positive,0.9945
22720,well done heart wrench documentari one traumat day countri ha ever experienc demonstr amaz strength courag men woman work hard save life give hope countri famili lost love one relentless determin recov peopl clear disastr area discov one piec steel shape cross sinc stood strong alon amidst debri seem symbol strength hope work hero countri definit worth purchas remembr courag strength men woman sacrif life dedic worker gave assist give hope survivor entir nation reenforc wonder strong countri live thank feel,Positive,0.9938
22720,thought book wa averag best last three chapter love sweet satisfi end one ha hostag mistress read like fiction romanc novel enough romanc keep avid romanc fan interest book take place dure great chicago fire enjoy read time nation histori charact eye katherin wa best part book not entir good fake posit begin book certain not bad seem real want end realiz want dylan noth money dylan wa also likabl becaus surviv much understood con way becaus need surviv reform wa best part book overal end provid need recommend book wholeheart,Positive,0.993
22722,absolut lucyabsolut luci book ilen coper book ha true messag messag friend come shape color size even speci also friend help build corag eas pain absolut luci boy name bobbi turn shi boy no friend outcom boy mani friend luci guess even say luci hero luci bobbi end meet someon name mr davi luci save life hero go luci see luci great dog bobbi learn live life best luci great dog help everyon absolut luci fun enjoy book kid age get kid want read read fun enjoy book absolut luci read fun adventur bobbi luci mr davi absolut best book ever would sarina,Positive,0.9955
22722,honey love great book book love written elois greenfield poem book remind life littl kid read book fourth grade love ever sinc great book young student well older one poem book entitl honey love inspir read poem feel littl girl poem poem also veri nice inspir uniqu would definet reccommend book young one feel could relat love book wonder fantast book commend mrs elois greenfield write mrs greenfield veri talent writer hope write child book like one day honey love love book honey,Positive,0.995
22722,name omar year old mexico think japanes girl veri cool cute love song favorit sayonara puffi de rumba think veri beauti song puffi rule veri cool song stray cat fever imag choo choo train veri good song love pure love drug dejaron impresionado becaus veri beauti good song join fan club great toku suru karada ai no shirushi nehorina hahorina neholina planet tokyo umi heto true asia mmm whi say song love love song puffi amiyumi big super fan japanes girl mi respeto para esta chica japonesa ok think talk much sorri viva xico viva jap n,Positive,0.9943
22722,fan rachel cain weather warden seri decid check new seri ha work harlequin bombshel found first book seri realli enjoy could not put first cain ha written realli interest charact jazz lucia borden manni differ yet believ work well context greater stori plot set wa interest well wa intrigu cross societi idea lead actor question suspens kept come end book left scratch head mysteri lead great stori book differ weather warden seri well written interest best would call paranorm mysteri seri work fan cain check new seri price realli good bargain great job ms cain,Positive,0.992
22722,love secret rubi ring love relat realist time travel yvonn macgrori perfect book martha rubi ring stori martha grandmoth luci stori deal rubi ring martha made wish ring go fanci ball care wish martha much better life made journey back earli ireland present visit cousin well famili fall love young man name andrew ha quit adventur tri recov ring lost get home present day well enjoy gand ball end charm surpris veri touch hope enjoy book much first one also well written work yvonn macgrori enjoy,Positive,0.9933
